Startup,Objetivos,Preguntas JD,Unnamed: 3,Observaciones Jd / Actualizaciones,Tareas Brenda Milagros Sota Huarcaya,Unit economics| sheet,Ronda,Valuation,Descripcion,Escalabilidad,Puntaje_escalabilidad,Equipo,Puntaje_equipo,Producto,Puntaje_producto,Exit,Puntaje_exit
Tu Cambio,"Comisión: 2-5% MRR: 8500$ 
GMV Mes: $130k

Captable: luis 42% carla 58%
safe: 5% con inversionista angesl
cap: 1 millon

constituidos en CL y PE

levantando 250k a 2,5M de valuation
CAC: 15$ por cliente","¿Es automatizado el cambio de moneda a crypto? Si en chile estamos mas avanzados, en Perú estamos en ese proceso. 
¿Usan stablecoins para el intercambio? 80% stablecoins y 20% otras monedas. La idea es convertir la moneda, volumen que llega es volymen que sale. 
¿Cómo le compites a las billeteras - Uala, Bitso, etc ? Tiempos de procesamiento, billeteras es 3-5 dias nosotros somos en minutos. 
¿Cómo te diferencias en el mediano plazo? No dependemos de un camino, nos basamos en tech y tener evaluados más caminos. ¿Por que genera mejores tiempos y mejores tasas?
Cuentenme de ustedes! que hicieron antes? Luis tiene background mas financiero y Carla mas de innovación y tech robotica.
Han levantado capital antes? SUP Chile y Perú, angel 50k, 
Como ven la compañía en 5 años? La vemos con +1 millon de clientes, 200 rutas de reenvio. Buscamos ser el sustituto de una mesa de dinero tradicional. 
Exit? Western Union o un Venture de VCs. 
¿Que les falta el MVP de US para lanzar? Compliance legal. Cuando los tienes listos? 3-6 meses lo tendríamos listo para operar en US.
¿Cómo calcularon su valorización? entregar máximos 15% por 350k",,"canal de adquisición: ads, remarketing, foros de migrantes.

transferencia promedio: 60$ (6 países)
LTV: 6 meses
CAC Payback: menos de 1 mes 

Posibilidad de integrarnos con banesco. son webapp. 80% en mobile.

4 fulltime (soft, ops, compliance, mkt) + 2 founders.

Diferenciación: tech es un camino y experiencia de usuario otra. ","validen la tecnologia de Tu Cambio, pueden pedirle a Arturo Deza que tengo una reu con los chicos o alguien de automatizacion RPA",,(Preguntar cuanto a que valuation),,,,,,,,,,
Qolores,"Venrta promedio:  USD 50M-USD 100 M 

Captable: Isemar Cruz Biotecnóloga % Jaqueline Cruz, Industrial %


levantando  2.3M a  M de valuation
","""¿Qué es Qolores ahora? Bipigmentos innnovadores que reemplace los tintes para textiles, alimentos y cosméticos. Cuentan con 8 colores, no usan químicos tóxios ni transgénicos que puede afectar la compra en la industria alimentaria. Sostenibilidad: Busca reducir el consumo de textiles contaminantes que afectan y contaminan  de agua. 
¿Qué avances han tenido? Pruebas en textil, principalmente, Alpaca con el grupo Michell.  NDA Con  grupo Richemont.¿Cómo generan los biopigmentos? Aislan los microorganismos del medio ambiente y observa cuales producen color, revisan el proceso con el que puede generar este color. La patente lo observan por cada color: la patente va para cada producción del color, es patente internacional ya rterminado ¿Quién cobra eso? La ONPI  lo hace gratis. ¿Cuándo estimas que se presente la patente? En 3 meses ¿Cuál es el nombre de la doctora con quien lo ves?Marta Eleno Carrasco, de la UNAM de MÉXICO ¿Qué colores tienes? Azul, rojo, amarillo. ¿Ya se puede replicar? Sí, incluso el azul ha sido uno de los más replicados para productos como jean.                                                                                                  ¿En qué consistió el programa de la ONPI? Fueron calificados por la innovación, les contactó y ofrece ayuda gratuita en legal. ¿Estuvo en el programa GHM? Están revisando al estrategia para el mercado piloto? 
¿Ya la estandarizaste, qué capacidades de producción tienes ? Pueden producir en su laboratorio entre 4-5 litros. Lo ideal es migrarlo a un biorreactor que ya están en pruebas. Producción en batches por color y se limpia entre colores. Una vez que ya tienen los microorganismos, ya no necesitan aislar, solo los reproducin. Producción de 5 a 7 días de 20 litros en el bioreactor
¿Con qué abogado están trabajando? Con uno local, NDA con estudio Muñiz.
¿Der qué va el piloto con Michell? El piloto con Michell consiste en que les dan acceso a su fábrica y prueban los pigmentos en máquinas que procesan el teñido, Para validar la tecnología en un entorno productivo. 
Cuentenme de  la empresa, cómo se distribuyen en Qolores, y LEQARA? son dos empresas independientes. Son 3 personas en qolores. Jaqueline ya no le dedica tiempo a Leqara. Le dedican full time a qolores
Buscan levantar inversion ? sí, USD 2,3M para cumplir la demanda de 10 clientes top del mercado extranjero. Han tenido reunión con Richmond.  Quieren hacer un plan piloto pagado, para retomar el contacto con las empresas interesadas. Inversión en máquinas (70%) y equipo el resto
Con quien compites? PILI.BIO, Ellos hicieron serie A. Huue hace solo tinte azul. Microma que ellos se enfocan solo en alimentos. Todos hacen modificación genética. usan la Ecoli. Es un proceso muy costos y es poco escalable.  Si se quieren enfocar en alimentos, no es tan aceptado
El color qué es? Son como secreciones de los microorganismos 
¿Exportaciones cómo es? No hay problema en la exportación del lado exportador. Del lado importador se debe hacer regulaciones 
¿Cómo validan que no sean GMO? No hay certificados para biopigmentos que conozcan al momento. pero van  a averiguarlo. ¿Esperas vender la compañía EXIT? Quieren seguir siendo parte de la startup al menos los primeros 3-5 años. Están abiertos a eso.                                           ",,"canal de adquisición: Los clientes se le acercaron o están interesados Burberry, Apple., etc  Tienen acceso de conexiones por el programa que pasaron. Los clientes hacen una producción cápsula como compra regular.: 20-50 prendas.

Venden a USD 55 mínimo dependiendo de color por kg.
Costo de producción por kg(polvo, procesan el líquido) : USD20 por kg de pigmento puro.

Producción de 5kg cada 5-7 días. Quieren mezclarlo con copolímeros para mejorar las propiedades. 25kg por semana con un nuevo biorreactor más grande.
 fulltime 2 founders y una científica trabaja con ellos que es biotecnóloga.

Diferenciación:  El factor sostenible del producto. Los clientes grandes pueden pedir toneladas, cuántos biorreactores se necesitan para hacer una tonelada? Un tanque de 4,000 Litros necesitan. Puede costar USD 1M para vender 1Tn que genera 100K de ingresos.                                                                                                                                     Pruebas de 20 L - Pruebas de 100 L para escalar a cualquier cantidad. El tanque de 100 L cuesta USD 10K porque será de plásticos más componentes aprox USD 12 K.  La prueba demora de  4 a  6 meses",,,no han levantado,,,"No hay patentes, está en proceso de redacción el color azul
Para producir 1Tn de biopigmento, necesitan un bioreactor de 4,000 Litros que cuesta  USD 1M para vender 1Tn que genera 100K de ingresos. (Respuesta en Reunión 1:1 con Jose)
",Dificultad alta,"Potencial  equipo biotech
CTO? Isemar es biotecnóloga
Cap Table: Balanceado: Jaqueline 50% Isemar 50%
Time commitment: Michelle full time + Preguntar a Kev
Complementariedad: Jacqueline Cruz: Investigación, Emprendimiento LeQara. Isemar Cruz: Desarrollo de productos innovadores, Experiencia en Moda y Textil, Emprendimiento LeQara
Top Advisors:  revisar
Traccion en KPIs: cerraron piloto con Michelle & Chia, empresa textil especializada en alpaca
Open to advise: 8 horas de Office hours
Open to pivot? Sí para atender nuevas industrias como cosmética
Participación / Give first? Activa más Jacqueline                                                                                                                                                                                                                                                                                                           

Aún tienen su anterior compañía LeQara en sus redes como LinkedIn y operando; por lo que no hay un foco full time en Qolores.
Como equipo han ganado concursos de investigación e innovación con LeQara como100K de ancho  Expedida por ITBA, con el apoyo de MIT Sloan Latin America Office · nov. 2019; Premio ISC3 y Fundación Elsevier al Espíritu Emprendedor en Química Sostenible",Bueno,"Hace lo que dicen: Producto testeado, necesita inversión para  producir más litros para hacer un test de mayor escala.
# de clientes: 3 contactos con empresas interesadas. 1 piloto cerrado. Han avanzado en una industria complicada
UX: No aplica
Clientes feedback:  No aplica
Recompra : No aplica
Diferenciacion: Factor sostenible
Con quien compite? Con fabricantes de tintes quìmicos. Hay productos similares, pero ellos tienen 6 biopigmentos testeados a pequeña escala
Mejora significativa de lo que existe: Sí, precio competitivo, producto biodegradable y ecoamigable
Defensibilidad? Es innovador, falta patentar, están en proceso


Para producir 1Tn de biopigmento, necesitan un bioreactor de 4,000 Litros que cuesta  USD 1M para vender 1Tn que genera 100K de ingresos. (Respuesta en Reunión 1:1 con Jose)
",bueno,,
Eolic Wall,"Pilotos acuerdos cerrados:  SELECSA, sumar esta tecnología a su portafolio. Inmobiliaria Urbana Peru. PRESENCIA EN COLOMBIA, PERU MEXICO, colocar dentro de su desarrollo inmobiliario. Textil de Valle  por sostenibilidad en sus plantas industriales y campos 


Captable: 

levantaron USD 200K de angel investor y grants de distintos programas: Techstars, KOICA, etc
","""¿Qué es Eolic Wall?  Tecnología eólica es un nuevo sistema capaces de alcanzar la energía de molinos gigantezcos en una fracción de tamaño. Incrementa la eficiencia.
¿Qué avances han tenido? Trabajaron con Oak Ridge para probar estas celdas eólicas.     Ya tienen 6 patentes protegidas, una ya realizada otras en proceso  (patente de invención).     **Jose pidio los numeros de las patentes.     Third derivative programa aceptado ultimo y el año pasado en techstars entre abril y junio. Se incorporaron en EEUU, Delaware                                               
¿Cuanto genera una celda? 1kw  ¿Cuánto es el costo por kW en residecial? 16 centavos de dólar. En el LCOT que compara con otras tecnologías
¿Cuándo crees que va a llegar al mercado? Hacia el Q1 2025 para terminar prototipos y pilotajes. Q4 2025 pilotajes comerciales. 
¿Qué tal en KOICA y su viaje a Coreo? Todo pinta muy bien por el financiamiento, pero por su familia no aceptan a los niños en el colegio, los que aceptan son muy caros. Tuvieron que no aceptar la propuesta. 
¿Cuánto necesitan de capital? Financiamiento del development hasta llegar al prototipo final y entrar recién a pilotaje. 
Han levantado capital ? Angel investment USD 110K y cerrando USD 90K con SAFE,además de Techstars. los investment saleron por el pitch en un evento local de Energía
Cómo se ven a ué mercado opinan? Mercado extranjero 
Pilotaje cerrados, quiénes? SELECSA, sumar esta tecnología a su portafolio. Inmobiliaria Urbana Peru. PRESENCIA EN COLOMBIA, PERU MEXICO, colocar dentro de su desarrollo inmobiliario. Textil de Valle  por sostenibilidad en sus plantas industriales y campos 
",,"Equipo: 2 founders y 4 especialistas de la UNI

José quiere hablar con su angel investor, pedir info

","Pedir info de su angel investor para entrevistarlo, comunciarnos

Alfonso Mujica - Cel. 950 814 080",,(Preguntar cuanto a que valuation),,,"Necesitan financiamiento del development hasta llegar al prototipo final y entrar recién a pilotaje. 
Ellos proyectan que hacia el Q1 2025 podrían terminar prototipos y pilotajes. Q4 2025 pilotajes comerciales.  
",Dificultad alta,"Esposos. Alfredo R. Calle: Investigación especializada, Banca Corporativa. Natalia Cárdenas: Banca Corporativa
Emprendieron juntos en Green Mining  innovación científica basada en un proceso circular para la refinación de metales. 
Emprendieron BFX Trading fintech que busca desintermediar las transacciones de tipo de cambio entre empresas con una estrategia de tasa de punto medio.
",Regular,,,,
Teradomus,"500 pacientes en la waitlist. 5-10% de comisión por la plataforma.
kinesiologos activos: 15 profesionales (8 meses aprox en promedio tienen en el Saas)

Captable: Felipe y Pablo equitativo y 15% para tech side",,,"cobro: al fisio % comisión por transsacción
futuro: saas + comisión

envio de link de pago inmediato. expandir a mas profesionales (se volvera un Saas)
Atienen a domicilio. le da valor al kinesiologo.

Amazon con React front y back phyton. Lanzarán nueva plataforma a mediados de abril y finales de mayo de manera masiva. 

250k independientes para lograr 200millones / hay 1,5M de profesionales independientes","Probar dashboard Saas
Hablar con 2-3 kinesiologos",,no han levantado,,,,,,,,,,
Astay,,,,"Feedback JD
",Nada,,no han levantado,,,,,"Potencial  equipo tech: in house 
CTO? Sí figura Juan Mansilla como CTO
Cap Table balanceado: Fernando Sagastegui 50% Juan Mansilla 50%
Time commitment: No es full time. Tienen otros productos aparte de con el que postularon.
Complementariedad: Industria en mina  ambos
Traccion en KPIs:  Solo test demo. 0 Ventas
Open to advise: Preguntar a Kev office hours
Participación / Give first? Activo nivel medio Fernando",Bajo,"Hace lo que dicen: Producto aún en versión demo. No es funcional para venta
# de clientes: 0
UX: Aún en desarrollo
Clientes feedback:  No hay
Recompra : No aplica
Con quien compite? Con consultoras
Mejora significativa de lo que existe: Aún no se testea
Defensibilidad?  Producto en desarrollo a nivel superficial, están testeando su demo. Es early. No tiene foco en solo este producto. ",Bajo,,
Cirkula,"12-13% MoM
b2c -CAC 13$ y payback 3 meses y medio
b2b -CAC 260$ (ticket 200$ x mes - payback 2 meses)
burn 8k mensuales
runway 15 meses
GMV 2023: 300K
Revenue 2023: 100K
11 personas en el equipo","equipo tech: 2 programadores (tech lead - rafael bravo-) CTO no tienes.
stack: react native para mobile y react web para web

levantamos 100k en angel y 250k en pre semilla cap a 2.5 millones (25.6% entre dos rondas)

como van a ser para convertirse en una empresa de 200 millones de dolares? mercado y crecmiento en base a marketplace",,"b2b 25%. (ticket promedio 130$)
usuarios cobro 20 centavos de dolar b2b

challenge curva para traer corps
challenge ciclo de venta para corps y prioridad para algunos. 

preocupacion de jd: captable diluido con tan poca plata levantada. Ideal siguiente ronda de 5M a un valuarion de 20M (debes vender o tener rev de 1 millon al año) multiplicar x10 lo de hoy sin dar más equity.",Nada,,(Preguntar cuanto a que valuation),2500000.0,"1k / 14% (comprar 2 angeles 4.5%)
sin el ESOP (alocar gran parte rafael tech lead - 10%)",,,"Potencial  equipo tech: 2 lead tech part time
CTO? No
Cap Table: Diluido. Michelle Gomberoff  - CEO 38.2% / Jimmy Baudts - CSO  38.2%, en ronda angel 14.6% y en ronda pre-seed 9% 
Time commitment: Michelle full time + Preguntar a Kev
Complementariedad: evaluar con Kev
Top Advisors: preguntar a Kev
Traccion en KPIs: 60 nuevos clientes 25 (marzo) y 35 en abril durante el DD
Open to advise: sí
Open to pivot? Sí, nuevo foco en industria de cadenas de comida
Participación / Give first? Activa por parte de Michelle",Bueno,,,,
Parenteen,"
6 personas en el equipo incluidas las founders","Están trabajando con escuelas, a través de charlas, así trabajaron el año pasado. Ahora quieren darles esta plataforma como beneficio.    La plataforma está hecha en larabel
Quieren explorar que los colegios paguen la plataforma para los padres. El colegio paga para habilitar los talleres virtuales y ahí convierten a los papás a Parenteen.
Cuánto es el periodo que tienen como pagantes? Ahora lo hacen por membressias de 3, 6 y 12 meses. La más pagada es de 6 meses.
Ellas quieren ayuda en product market fit. Quieren buscar añadirse a plataformas como adfly, 
Cuánto están quemando hoy? Al mes, gastan alrededor de 15,000 soles. Hay equipo tech? Aún no, están buscando. Están trabajando con el desarrolló el tech en Juntas. Buscan alguien que tenga base en datos.  Cómo van a llegar a ser una compañía de $200 M? Por producto, es un mercado super nicho con un potencial en Perú: 352,000 familias y en LatAm 33,6M . Para llegar al P.E necesitan 1000 padres con suscripción de 6 meses. Pero si reinvierten, eso cambia                    La plataforma está construida en laravel.",,"b2b a colegios. B2C con padres de familia
115 usuarios activos en la plataforma
90 se inscribieron por un evento con una empresa
Los demás vienen por newsletter.

Captable Majo 50% y Gabriela 50%",Cómo mantenerlos para que haya frecuencia en el contenido que puedan darles? Crear otros productos que necesiten los padres y que pueden venderlo en la comunidad que creen,,250k,2500000.0,"han levantado antes 100k angel
tienen ESOP 10% (DENTRO DEL 74 cap table que tienen)
su ronda es SAFE",,,,,,,,
Carlo,"subasta modelo fee: 350$ al dealer por cada auto subastado y 150$ a la persona por el servicio.
e-buyer modelo: 3k$

captable: 50/50 heydi y Jesus. CTO: Javier es prueba 5 meses + post-vesting del periodo de prueba.","mes y medio rotan autos con el e-buyer.
tipos de autos: carros primer auto, city caras, SUVs. (japon, alemana, coreana)
garantia: 3 meses mecanica (acuerdos con santander para financiamiento a través de ellos)
Subasta: dealers y personas naturales
porque las dos y no hacer solo una de las dos? se complementan, 
como van a hacer para ser una compañía de 200 millones de dolares?",,BMC: Subasta de carros sinestrado,,,no han levantado,,,,,,,,,,
Sommos,"Objetivo: White Laber de integración a banca.

Founders: yara (ops), diego (ceo), jhonny (tech) -3 fulltime-

captable: 
2 rondas con SAFE - 75% founders y 25% angeles asumiendo las dos diluciones: 30% de dilución. 

Tendríamos 50% post SAFE

Techstars: 20k x 6% y 100k a cap de 3M
Krealo: 100k por un cap 2.5M

Van a tener advisory board.","¿como serán una empresa de 200 millones? 1- estandarizar el producto (nuestro mayor costo es integración) y expansión a colombia y mexico. 
¿Pensando en tu modelo actual como geenrar 200 millones de valoración? 
250 bancos - 150 millones de dolares (con numeros actuales de pricing -aún seguimos experimentando de pricing)",,"Operaciones en Perú  y Bolivia / Futuro: Colombia o Mexico
Producto Juntas y Commercial:
B2B - MiBanco, Bancosol
Producto Ahorro individual programado: (Whitelabel para bancos - UNACEM)
B2B- BCP hipotecarios - UNACEM y Menorca (posibles)
% de monto transaccional de los aplicativos.
40% DE LAS VENTAS EN AHORROS INDIVIDUALES DE BANCOS SE LES CAE.
Con BCP: Reminders para hacer que paguen, potenciales extensioones. 
Tech stack (unacem + menorca): tech web basado en nube (google cloud), angular -java- aioni (front)
firebase, notjs (back)

IT Team: 8 personas -2 calidad, 2 diseño, 3 desarroladores sr y 2 juniors-",,,(Preguntar cuanto a que valuation),,,,,"Potencial  equipo tech: 2 lead tech part time
CTO? No
Cap Table: Diluido. Michelle Gomberoff  - CEO 38.2% / Jimmy Baudts - CSO  38.2%, en ronda angel 14.6% y en ronda pre-seed 9% 
Time commitment: Michelle full time + Preguntar a Kev
Complementariedad: evaluar con Kev
Top Advisors: 
Traccion en KPIs: 60 nuevos clientes 25 (marzo) y 35 en abril durante el DD
Open to advise: sí
Open to pivot? Sí, nuevo foco en industria de cadenas de comida
Participación / Give first? Activa por parte de Michelle",Bueno,,,,
Ancana Restaurantes,"1 año 10 meses, 5 marcas", +280 K en ventas,,"recomendacion jd:
mercado competitivo, ver mas perfil de cliente y orden de consumo",,,no han levantado,,,,,"Potencial  equipo tech: 2 lead tech part time
CTO? No
Cap Table: Diluido. Michelle Gomberoff  - CEO 38.2% / Jimmy Baudts - CSO  38.2%, en ronda angel 14.6% y en ronda pre-seed 9% 
Time commitment: Michelle full time + Preguntar a Kev
Complementariedad: evaluar con Kev
Top Advisors: 
Traccion en KPIs: 60 nuevos clientes 25 (marzo) y 35 en abril durante el DD
Open to advise: sí
Open to pivot? Sí, nuevo foco en industria de cadenas de comida
Participación / Give first? Activa por parte de Michelle",Compromiso Regular,"Servicio bueno, llegó en 30 min después de hacer el pago. Algo curioso es que al entrar a la web hice mi pedido y para concretar me mandó al wpp y tuve que volver a decir mi pedido. Pedimos la marca Pipzza, fue bueno. Algunos preguntaron de dónde era y pidieron el contacto(Arturo)",Bueno,,
Vuá,"3 productos: Shampoo, Acondicionador, Crema de Peinar

Tasa de recompra: 38-40%
5 meses: 38% MoM Growth
febrero 2024: 86mil soles
marzo 2024: 100 mil

stefano 25% -65% co-founder
margen bruto: 73%
margen neto: 25%
EBITDA: 40%
cashflow positive","¿como es el proceso de produccción? los quimicos hacen una formula base, despues el usuario entra al formulario y cada pregunta es un aditivo y con eso sale su formula del producto.  Actualmente, el proceso es todo es manual. 

Proveedores que compramos no tienen sales ni nada.
costo: shampoo + acondicionador - 49.90 soles / amaraz - 29.90 / shampoo de peluqueria - 129 soles / mainstream - 20-35 soles (unidad)
Aun no tienen suscripción. 

como llegamos a 200 millones de dolares anuales? aumento de linea de producto (corporeo + higiene) y entrar a Sao Paulo
como consiguen clientes? publicidad + organico (publi en redes y web)
con cual convierten mejor? web - 70% y costo de conversión - 25-35% y nuestro LTV 120 soles en promedio
con quien haces logistica? aliados con una drogueria (couriers propios)
",,"liquid 10% de acciones: antes lo vían con Mauricio ahora lo ven con Gustavo Canales. Se juntan cada dos semanss los viernes. 

variedades de formula: 1000+ aprox

inversión: 200k x 15%",,,(Preguntar cuanto a que valuation),,,,,,,,,,
Speakeasy,,,,,,,(Preguntar cuanto a que valuation),,,"Aún está en validación, no hay bases tech que permitan dar ese paso.",Dificultad alta,"Solo Massimo estuvo presente durante el programa, su cofounder no figuró en la firma de compromiso. Pivot
No se presentó al comité de evaluación
Emprendió antes, tiene capacidad de ejecución y adaptación al cambio",Bajo,"Inició teniendo tracción, se dio cuenta que el ticket era muy bajo; por eso está explorando una solución que permita a los negocios medianos analizar y resumir información de los clientes evitando la pérdida de tiempo en trabajos manuales para sus colaboradores e",Pivot,,
Cobox,"

10 operadores logísticos activos -solo pequeños y medianos, salvo Jango- (hay 50 en total)
Objetivo: Pasar de 100 a 1000 pedidos diarios 
fee por transacción del 15%-25% que se le cobra al operador


,Max 50% - Jaime 50% co-founder
margen bruto: %
margen neto: %
EBITDA: 
cashflow ","¿como es el proceso de produccción? los operadores más pequeños  y medianos pagan por web y los operadores grandes(Falabella, farmacias peruanas) contratan servicios en periodos cortos específicos como cyber 

Cómo se conecta el operador logístico a Cobox? Llenan un formulario con información de la empresa y la capacidad de movilidad(# vehículos, tipo vehículos, etc)
Cuál es el tech stack: código desarrollado inhouse jasson, djl, google cloud, google workspace. El equipo tech es 2 programadores: 1 nackend y otro frontend. 
Cómo se conocieron? Se conocieron antes de pandemian, en su anterior trabajo. Jaime jaló a Max para primero hace bee peru que luego se llamó Bee logistics. 

Hacia dónde va cobos? A transformar la logística de última milla, este año quieren estar en 4 ciudades más del país. 
Cuál es el exit que ven? Grandes operadores logísticos, sin flota. 
Cómo se está empezando a financiar ese desarrollo de producto? Adopción directa, financiamiento privado dedicado a expansión comercial
Por qué tienen ustedes son el mejor equipo para crear esta empresa y tener el exit?  Experiencia y las conexiones. Pivoteos acorde a lo que están buscando.",,"La monetización es el reto poque hay mucha oferta, tneer claro el potencial de monetización. Deben trabajar más en el producto y que este sea superior. ",,,no han levantado,,,,,,,,,,
Fran AI,"302 clientes (5$) -10% de conversión
retención 80% | 2 meses
4500 usuarios

meta: 100k dolares al año   ","¿por qué no convierten? usuario quiere experimentar primero
equipo: 2 personas full time y 1 part time (1 mkt + 4 advisors que son psicologos) 

tech stack: wsp api + encryptamos extremo a extremo. Damos LLMs adaptables cortados en pedacitos.",,,,,no han levantado,,,,,,,,,,
Hot Capital,"65K Portafolio average investment $5500     Retorno anual 15%
retorno anual 15% | 
17 clientes 
Ronda de 200K a un valuation por definir, para bases legales, growth a cargo de Bruno, Inversiones con personas junior de Matemática para desarrollar un modelo más potente 
A partir del 6%, empiezan a cobrar el 20% de las ganancias. Fee de retiro del 5% si retira antes de los 2 años. ","Hoy el producto es un back office sencillo. Están trabajando la página web que saldrá estas semanas. Aún no es automatizado  
Onboarding donde explican qué se debe hacer, No quieren saber exactamente cómo funciona, solo la rentabilidad. Han adquirido boca a boca y friends and family.
Tienen algoritmo que evalúa el portafolio de criptos. Manejan como fondo estructurado. El fondo constantemente se estructura en base a lo que dice el algoritmo. Operativamente son un fondo, pero no regulatoriamente. Actualmente solo es un contrato de inversión con Hot Capital SAC.  
Reciben a través USTO y depósitos bancarias. Usan Binance para transferir.     

Cuál es el exit https://docs.google.com/spreadsheets/d/1rEI1rdbvr1ptVcoRr7T7xeyJkZtOBKV5KXTq_jwM9uc/edit#gid=1125629850&range=K2   Cómo llegan a 20,000 clientes? Según ellos, el mercado cripto está creciendo y eventos. Qué valoran estos clientes? Ellos pueden venir de dos lados: gente que le interesa, pero no invierte aún o desconoce; otro perfil es que han perdido dinero pero creen en el activo aún.  
Cómo le generas a añguien confianza de que ustedes le asesoren para comprar criptos? Hacen buen due diligence. buen approach. Baja la complejidad a  un nivel bien comprensible. No vender humo y hacer un producto con base legal. Conversión directa y sincera. ¿Qué retorno debe esperar un inversionista ? 15% -20% . ",Competidor; MAKARA https://makaracapital.com/,Es startup? O una firma de inversión que asesora? Revisarlo  Pueden ir por el camino de sociedad de inversiones,,,no han levantado,,,,,,,,,,
